user_name,rating,review_date,product_color,product_storage_size,review_content
Amazon Customer,5," December 12, 2022", Blue   ,128GB,Works as-expected - great refurb!
Amazon Customer,4," December 6, 2022", Blue   ,256GB,Good storage GB
Ty,5," December 11, 2022", Midnight   ,128GB,👌
Heather Kellogg,5," November 27, 2022", Pink   ,128GB,I love how little it is and it is like the 4 which was a durable phone
Kia,4," November 11, 2022", Pink   ,128GB,"It arrived a day early, had no scratches and it came with a new screen protector already on it, charger cord and the charging box."
MRS. TURNER,5," November 10, 2022", Midnight   ,128GB,I order a iPhone from another seller and it was a lemon🍋. So happy I purchased this 13 mini! It works perfectly and I even got it $100 bucks cheaper than the other phone. Very satisfied and officially team iPhone!
mt linda,5," September 17, 2022", Starlight   ,128GB,"Replaces my se 5 which I also loved many years. I am so happy with this  Mini 13. The facial recognition is amazing and I do not miss the home button. In the time I’ve had the renewed mini 13 the performance and battery life has been great, like new in fact. Only one or two events where screen hung up however, I’m attributing that to internet connectivity which can occur in my location. The cosmetics were like new, I did notice a very micro minute scratch on screen which is so unnoticeable that I almost didn’t want to even mention here, hardly a defect. Overall if you’re thinking of upgrading with this seller, I would say go for it, jump in and enjoy!"
Clifton,4," October 14, 2022", Midnight   ,128GB,"Used/refurbished iPhone 13 mini with very few scratches, only on the back. I'm satisfied."
Andrew Thomas,5," July 11, 2022", Midnight   ,128GB,"I was a bit weary buying a phone from a seller I haven’t bought from before, that’s a lot of trust when spending $600. I’ve waited a few weeks to write this review to make sure all was well. The phone came in great condition with no scratches, nicks or dents.  Battery condition said it was still at 100% so that was really nice. All and all very satisfied with the seller.Now to the review of the phone itself.This is a fantastic phone in every way. I’ve bought budget phones for 10 years now because I couldn’t afford the best money could buy. The last iPhone I had was the iPhone 5. This happened to be within my budget and I couldn’t be happier with the phone itself. I was coming from a pixel 4a so a slight down Size from a 5.7 in screen to a 5.4 wasn’t an issue at all. I truly enjoy a smaller phone as I have small hands and find large heavy phones annoying. To have basically a flagship phone but in smaller packaging has been great. Battery life is actually a lot better than expected and Lasts all day with moderate to heavy use. If your hesitant to get this phone, don’t be! I will update the review if anything changes but so far I’m absolutely in love with my new phone."
Keith van buskirk,4," June 4, 2022", Blue   ,128GB,Shipping was very fast I received the product much sooner than anticipated which was a good thing. However I think I would’ve been better off buying a new iPhone mini 13 this one didn’t even come with the original packaging it was just bubble wrapped with a charger and cable thrown in for looks.  The charging block and cable quickly failed after only a couple of uses and I had to go buy a new charging cable and a new charging block the phone is charging fine now.  I actually had to reset the phone to factory settings before I used it?!? I would definitely recommend spending the extra money on something that’s either new or renewed I wouldn’t buy a $650 iPhone from this vendor again.
